"filename", "language", "XML", "Java Properties", "Markdown", "HTML", "CSS", "JavaScript", "JSON", "Java", "Python", "XSL", "Shell Script", "Batch", "Ini", "Log", "comment", "blank", "total"
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\stock.html", "HTML", 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 97
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\styles.css", "CSS", 0, 0, 0, 0, 873, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 191, 1081
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\textosLegales\avisoLegal.html", "HTML", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 87
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\textosLegales\cookies.html", "HTML", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\textosLegales\politicaPrivacidad.html", "HTML", 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\verEmpleados.html", "HTML", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.sse.core\task-tags.properties", "Java Properties", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 4
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.xml.core\default_catalog.xml", "XML", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.xml.core\system_catalog.xml", "XML", 231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 232
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\version.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\Servers\Concesionario-v2-config\catalina.properties", "Java Properties", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 9, 220
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\Servers\Concesionario-v2-config\context.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 2, 29
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\Servers\Concesionario-v2-config\server.xml", "XML", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 14, 158
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\Servers\Concesionario-v2-config\tomcat-users.xml", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 52
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\Servers\Concesionario-v2-config\web.xml", "XML", 4090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 598, 47, 4735
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\CONTRIBUTING.md", "Markdown", 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 166
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\README.md", "Markdown", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 82
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\bin\catalina-tasks.xml", "XML", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 2, 40
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\bin\catalina.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 352, 0, 0, 0, 38, 390
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\bin\catalina.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 462, 0, 0, 0, 166, 61, 689
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\bin\ciphers.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 9, 59
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\bin\ciphers.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 25, 9, 61
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\bin\configtest.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 9, 59
